Class,Requirement
RTE,The RP interface documentation shall describe the elements of the RP memory interface provided by the RTE and their relationship to the bypassed SWCs and service points.
RTE,The RTE generator shall support manually inserted service points within SWCs.
RTE,The RTE shall support the generation of service points.
RTE,The RTE generator shall support disabling the execution of runnable entities.
RTE,The RP memory interface provided by the RTE shall support the enabling or disabling of bypass functionality.
RTE,The RTE shall support a write-read access pattern for RP prepared data.
RTE,The RTE shall support selectable data preparation for RP.
RTE,"The RTE shall provide support for the implementation of software component bypass. A bypass consists in reading, modifying, or writing data for testing or rapid prototyping purposes."
RTE,It is possible to request the activation of one Executable Entity by several Events. It shall be possible to identify the activating Event during the execution of the activated Executable Entity.
RTE,"The RTE shall support the synchronization of runnable entities. Synchronization means that the mechanisms that implement the runnable entity activation (OsAlarm, OsTask, OsEvent, etc.) are triggered (expired, activated, set, etc.) at the same point of time. Synchronization shall be possible even if runnable entities are mapped to different OsTasks, different OsPartitions, different cores, or even different ECUs."
RTE,"If Com supports the sending/receiving of an array of uint8 natively, the RTE shall use this native interface if the communicated datatype is supported by Com."
RTE,"In a system, N:M communication shall be allowed when this communication is subject to a variation point. After all affecting variants have been resolved, only 1:N or N:1 communication shall be possible. This shall be available for PostBuildLoadable variants."
RTE,"RTE shall support selection of a signal provider at ""Post Build Loadable"" time."
RTE,"The RTE shall support the configuration, post-build time, as a software component to run or not. When the SWC does not run, the RTE needs to behave as if the software component does not exist; therefore, all RTE events for that SWC's Runnable Entities shall be suppressed."
RTE,The RTE generator shall be able to generate arrays whose size depends on a model attribute.
RTE,"The RTE shall support the generation of the Application Software Component header file where ""PreCompileTime"" or ""PostBuildLoadable"" variability is left open and shall be resolved later."
RTE,The RTE shall support the resolution and implementation of the AUTOSAR Variant Handling mechanism.
RTE,"The RTE shall support the RTE-Status ""never received"". This is the new initial status of each data element for which it is configured. This initial status will be cleared when the first reception occurs."
RTE,"In case of Sender-Receiver communication with ""last is best"" semantics, if the configuration requires, the RTE shall support an update flag that indicates whether there has been an update of the data since the last read operation from the Software Component to the data element. The update flag shall be set during reception of the data by the RTE and reset during the read operation from the software component."
RTE,The RTE shall protect the data defined in NvBlockComponentType against concurrent write and read access (by SWCs or NVRAM Manager).
RTE,The RTE shall support the access to fixed and constant data shareable between SWCs.
RTE,"The document ""Specification of Platform Types"" shall be supported by RTE implementations."
RTE,"The document ""Specification of Compiler Abstraction"" shall be supported by RTE implementations."
RTE,"The document ""Specification of Memory Mapping"" shall be supported by RTE implementations."
RTE,The RTE Generator may provide a vendor operating mode allowing vendor-specific optimizations.
RTE,"The RTE Generator shall provide a compatibility operating mode that guarantees compatibility between different RTE implementations, both for source code and object code components."
RTE,"The RTE API shall support wait points at which Runnable Entities will block until an 'RTE Event' occurs. A category 2 Runnable Entity shall, through the RTE API, be able to suspend its execution (i.e. block) until a well-defined event occurs. This requirement does not mean that 'wait points' shall be explicitly specified in the API and could be satisfied by blocking calls that suspend the caller until an event (defined in the VFB meta-model) occurs."
RTE,"The RTE shall provide a mechanism for making requests for explicit reception of AUTOSAR signals (i.e. an implementation of Data Receive Point). The Data Receive Point of a Runnable Entity references an instance of a data-element in a required port. Using the Data Receive Point, a Runnable Entity can use an explicit RTE API call to receive new values of the specified data-element (e.g. the 'next' value is read out of the local queue)."
RTE,The RTE shall provide a mechanism for the implicit reception of data elements. The mechanism shall grant read-access to a data element of a required port that will not be modified by the RTE and may be freely read until the Runnable Entity returns. The presence of Data Read Access means that the Runnable Entity will require access to the Data Element in the rPort. The Runnable Entity expects that the contents of this data do not change during execution of the Runnable Entity.
RTE,"The RTE shall provide a mechanism for the implicit sending of data elements. The mechanism shall grant write-access to a data element of a provided port that may be freely changed until the Runnable Entity returns. The presence of Data Write Access means that the Runnable Entity will potentially modify the Data Element in the pPort. The Runnable Entity has free access to the data-element while it is running but the Runnable Entity should ensure that the data-element is in a consistent state when it returns. When using Data Write Access the new values of the data-element are made available, by the RTE, when the Runnable Entity returns. Depending on the configuration the RTE may either have nothing to do or it may need to actually initiate sending of the data element."
RTE,"The RTE shall provide a mechanism for making requests for explicit sending of AUTOSAR signals (i.e. an implementation of Data Send Point). The Data Send Point of a Runnable Entity references an instance of a data-element in a provided port. Using the Data Send Point, a Runnable Entity can use an explicit RTE API call to write new values of the specified data-element (which may cause an immediate send depending on component and communication configuration)."
RTE,The RTE shall support that ports are connected which are typed by different interfaces and where the elements of the provided port are typed by composite data types whose composite elements are mapped to elements of the required port. Hereby the required port might contain only a subset of the elements contained in the provided port.
RTE,The RTE shall support the transfer of data with variable size (could be bigger than 8 bytes but has a fixed maximum size). The variable length support shall be applicable to strings and primitive byte arrays.
RTE,The RTE generators shall configure the RTE to implement the specified communication paths while retaining their semantics.
RTE,The RTE generators should provide optimized communication when the source code of an Application Software Component is available. Optimizations envisaged include elimination of the RTE for that communication channel.
RTE,"The RTE shall support AUTOSAR software components where only the object code (""binary-code software components"") is available."
RTE,"The RTE shall support AUTOSAR software components where the source is available (""source-code software components"")."
RTE,The RTE generators shall provide a configuration option specifying the overall design goal of the generated RTE: minimizing memory and/or run-time overhead.
RTE,The RTE generators shall accept input consisting of zero or more databases/files.
RTE,The RTE specifications shall define a standard naming convention for all RTE API artifacts visible by a component author that are created by the RTE generator. The names of RTE API artifacts shall not include the component instance names.
RTE,The RTE generators shall support SW-Components and BSW Modules created using ISO C++.
RTE,The RTE generators shall support SW-Components and BSW Modules created using 'ANSI C'.
RTE,The RTE generators shall encapsulate a BSW Module's local namespace for declarations and definitions for APIs and types related to that one BSW Module.
RTE,The RTE generators shall encapsulate a Software Component's local namespace for declarations and definitions for APIs and types related to one Software Component.
RTE,The RTE shall suppress the re-declaration of AUTOSAR data types mapped to the AUTOSAR Standard Types and shall use directly the AUTOSAR Standard Types instead.
RTE,"The RTE generators shall suppress the re-definition of compatible type declarations resulting in identical ""C"" type definition."
RTE,The RTE shall define standard naming conventions for all the type symbols created by the RTE generator that are visible within the global namespace. The naming conventions shall be defined in a way that each type requiring its own implementation within the global namespace is named uniquely.
RTE,The RTE specifications shall define standard naming conventions for all the symbols created by the RTE generator that are visible within the global namespace. This naming convention is the exclusive right of the RTE generator for symbol definitions within the global namespace. Application and/or basic software components shall not create symbols using this same naming convention within the global namespace. This prevents naming conflicts and ensures clarity about which symbols belong to the RTE.
RTE,"The RTE generators shall detect, and reject where appropriate, the invalid deployment and communication configuration of application and basic software components. This ensures that only well-defined configurations are used, preventing potential errors and malfunctions in the system."
RTE,RTE shall use the well-defined mechanisms of AUTOSAR interfaces for the communication of active modes from the mode manager to the mode-dependent software component.
RTE,"External and internal trigger event communications shall support queuing the number of triggers issued by a trigger source. When the trigger source is informed of the end of execution of all triggered executable entities, the RTE shall (if any trigger is in the queue) dequeue a trigger by activating again the triggered executable entities."
RTE,The RTE shall support Inter-Runnable Triggering. A software component instance shall be able to explicitly trigger the execution of Runnable Entities of the same component instance.
RTE,"The RTE shall support the communication of External Trigger events from one trigger source to multiple trigger sinks (""1:n""). The Runnable Entity(s) in the trigger sink(s) linked to the event shall be executed after the occurrence of the event in a defined and deterministic order defined by the integrator. Restriction: This is only applicable for intra-ECU usage."
RTE,"The RTE shall support the queuing of concurrent calls to a server (by different clients). A server specified using the ""BUFFERINGqueue(n)"" attribute may have queued requests from multiple clients. Requests shall be read from the server’s queue using first-in-first-out semantics. Depending on the RTE implementation, the queue may be present in either the RTE or in COM."
RTE,"The RTE shall support at most one asynchronous call at a time from a single operation in a required port categorized by a client-server interface (i.e. there can only be one outstanding request per ""AsynchronousServerCallPoint""). Note that a single client can simultaneously have multiple outstanding requests provided each is to a different server operation. When a software component instance restarts, it may receive a stale reply - replies to a request made before the component was restarted. The RTE shall forward stale replies and it is the job of the software component instance to detect and reject the reply, for example, through sequence numbers."
Mode Management,"Users, indicating the operational needs of individual software components, shall be pre compile time configurable attributes of the ECU State Manager. Requests from unknown sources are ignored"
Mode Management,"It shall be possible to configure in pre-compile time which wake-up sources are relevant in which sleep mode, provided that they can be actually assigned to a sleep mode (i.e., they will be enabled when the ECU enters that particular sleep mode)."
Mode Management,"After OS shutdown, additional shutdown activities shall be taken like preparing hardware for the next wake-up. Finally, the ECU has to be switched off or put into a sleep mode. This shall be the task of the ECUStateManager."
Mode Management,Several shutdown targets shall be supported.
Mode Management,The ECU State Manager shall provide a service for the selection of the shutdown target.
Mode Management,The ECU State Manager shall provide a service for the retrieval of the current shutdown target.
Mode Management,Several sleep modes shall be available.
Mode Management,An API for selecting the sleep modes shall be provided.
Mode Management,The ECU State Manager shall provide a service for the retrieval of the last sleep targets.
Mode Management,ECU shutdown shall be forced.
Mode Management,The ECU State Manager shall provide an API to query the current ECU state.
Mode Management,The ECU State Manager shall be the receiver of all wakeup events.
Mode Management,The ECU State Manager shall be able to store the current wake-up reason.
Mode Management,The ECU State Manager module shall start a timeout after receiving a wake-up indication.
Mode Management,An API for querying the wake-up reason shall be provided.
Mode Management,The ECU State Manager shall provide a service for the retrieval of the selected reset modality.
Mode Management,An API to query the reset reason shall be provided.
Mode Management,The ECU State Manager shall provide a service allowing the selection of the boot target.
Mode Management,The ECU State Manager shall provide a service for querying the time of previous resets
Mode Management,The ECU State Manager shall de-initialize Basic Software modules where appropriate during the shutdown process.
Mode Management,The ECU State Manager shall provide services to request and release the RUN state.
Mode Management,Configuration of initialization process of Basic Software modules shall be available.
Mode Management,Configuration of de-initialization process of Basic Software modules shall be provided.
Mode Management,Configuration of time-triggered increased in operation shall be provided.
Mode Management,The number and names of main states and the transitions between main states shall be standardized.
Mode Management,A Run State shall have a minimum duration.
Mode Management,Starting/invoking the shutdown process shall be provided.
Mode Management,Initialization of Basic Software modules shall be done.
Mode Management,"The ECU State Manager shall provide the ability to execute external, statically-configured code at each transition between ECU states."
Mode Management,The ECU State Manager shall provide a mechanism to enter a step-by-step decreasing power mode.
Mode Management,The ECU State Manager shall include a mechanism to evaluate the condition to stay in the RUN state.
Mode Management,Shutdown synchronization for SW-Components shall be supported.
Mode Management,The ECU State Manager shall provide services to request and release the POST-RUN state.
Mode Management,The ECU State Manager shall evaluate the condition to stay in the POST-RUN state.
Mode Management,Wake-sleep operation shall be supported
Mode Management,The EcuM shall handle the initialization of Basic Software modules
Mode Management,The ECU State Manager shall offer two targets for shutting down the ECU
Mode Management,A persistent Alarm Clock used by local SW-Cs shall be provided.
Mode Management,Alarm Clock shall be active while the ECU is powered.
Mode Management,"In case of wakeup, all the Alarm Clocks shall be canceled."
Mode Management,"In case of startup, all the Alarm Clocks shall be canceled."
Mode Management,Consecutive requests shall honor the earliest expiring alarm only.
Mode Management,The alarm clock service shall allow setting an alarm relative to the current time using a time resolution of seconds.
Mode Management,The alarm clock service shall allow setting an alarm absolute by using an absolute time with a resolution of seconds.
Mode Management,The alarm clock service shall allow setting the clock.
Mode Management,The ECU State Manager shall provide an alarm clock service which shall allow the retrieval of clock values.
Mode Management,There shall be one instance of the function EcuM_Init that distinguishes between the different cores.
Mode Management,RTE_Start shall be called on each core.
Mode Management,State changes shall be ECU global.
Mode Management,"To shutdown, ShutdownAllCores shall be called on the master core after synchronizing all cores."
Mode Management,Validation and handling of wakeup events shall be done locally.
Mode Management,The Watchdog Manager shall provide an initialization service.
Mode Management,It shall be possible to prohibit the disabling of the watchdog.
Mode Management,The Watchdog Manager shall cyclically check the periodicity of the supervised entities.
Mode Management,The Watchdog Manager shall check the correct sequence of code execution in supervised entities.
Mode Management,The Watchdog Manager shall provide a service allowing the update of temporal program flow monitoring.
Mode Management,The Watchdog Manager shall provide a service allowing the update of logical program flow monitoring.
Mode Management,The Watchdog Manager shall provide the indication of failed temporal monitoring.
Mode Management,The Watchdog Manager shall provide the indication of failed logical monitoring.
Mode Management,The Watchdog Manager shall reset the triggering condition in the Watchdog Driver in case of temporal failure.
Mode Management,The Watchdog Manager shall reset the triggering condition in the Watchdog Driver in case of logical program flow violation.
Mode Management,The Watchdog Manager shall be able to immediately reset the MCU.
Mode Management,The Watchdog Manager shall be able to notify the software of an upcoming watchdog reset.
Mode Management,It shall be possible to configure a delay before provoking a watchdog reset.
Mode Management,The Watchdog Manager shall set the triggering condition during inactive monitoring.
Mode Management,The Watchdog Manager shall periodically set the triggering condition in the Watchdog Driver as long as the monitoring has not failed.
Mode Management,The Watchdog Manager shall provide a service interface to select a mode of operation for the Watchdog Manager.
Mode Management,The Watchdog Manager shall support multiple watchdog instances.
Mode Management,The Watchdog Manager shall support independent triggering condition values for each watchdog instance.
Mode Management,The Watchdog Manager shall provide a service to cause a watchdog reset.
Mode Management,The list of entities supervised by the Watchdog Manager shall be configurable at pre-compile time.
Mode Management,It shall be possible to configure all the transition relations.
Mode Management,The Watchdog Manager shall support post-build time and mode-dependent selectable configuration sets for the Watchdog Manager.
Mode Management,The Watchdog Manager shall support post-build time and mode-dependent selectable configuration of transition relations.
Mode Management,The Watchdog Manager shall report the failure of temporal or program flow monitoring to DEM.
Mode Management,The Communication Manager shall coordinate multiple communication requests.
Mode Management,The communication manager shall arbitrate and coordinate requests from users on physical channels and users on PNCs.
Mode Management,"For each configured PNC, an independent state machine shall be instantiated."
Mode Management,It shall be possible to distinguish between internal and external PNC activation requests.
Mode Management,The Communication Manager shall initiate the wake-up and keep awake physical channels.
Mode Management,Each physical channel shall be controlled by an independent communication mode.
Mode Management,The Communication Manager shall provide an API allowing the collection of communication requests.
Mode Management,The Communication Manager shall support two communication modes for each physical channel.
Mode Management,The Communication Manager shall provide an API which allows applications to query the current communication mode.
Mode Management,It shall be possible to evaluate the current communication mode.
Mode Management,The Communication Manager shall provide an API for querying the requested communication mode.
Mode Management,The Communication Manager shall provide an indication of communication mode changes.
Mode Management,The Communication Manager shall support users that are connected to a physical channel.
Mode Management,It shall be possible to limit communication modes independently for each physical channel.
Mode Management,It shall be possible to revoke a communication mode limitation independently for each physical channel.
Mode Management,The minimum duration of communication request after wakeup shall be configurable.
Mode Management,The Communication Manager shall be able to prevent waking up physical channels.
Mode Management,The Communication Manager shall provide a counter for inhibited communication requests.
Mode Management,"An API shall be provided to retrieve the number of inhibited ""Full Communication"" mode requests."
Mode Management,PNC activation requests shall be exchanged with the Network Management via a PNC bit vector.
Mode Management,The Communication Manager shall support synchronous and asynchronous request upon an indicated wake-up
Mode Management,The Communication Manager shall support a coordinated release of PNCs.
Mode Management,PNC communication state shall be forwarded to the BswM.
Mode Management,PNC Gateway Functionality shall consider systems with more than one gateways connected to the same network.
Mode Management,ComM shall forward PNC-Clusters also to busses that are currently not awake.
Mode Management,ComM API shall provide interfaces to access PNC Mapping.
Mode Management,ComM shall forward the information for Partial Networking Learning.
Mode Management,ComM API shall provide an interface to start PNCLearning mechanism for PNC Mapping.
Mode Management,ComM shall set all its assigned PNCs when partial networking learning is requested.
Mode Management,ComM API shall provide an interface to set PNC membership on Host ECU.
Mode Management,ComM API shall provide an interface to configure PN filter mask.
Mode Management,ComM shall send the information for Partial Networking Learning.
Mode Management,ComM shall support communication channels that act as communication slaves with wake-up capability.
Mode Management,ComM shall support communication channels which act as communication slaves without wake-up capability.
Mode Management,ComM shall support the possibility to forward the information if the communication request is active or passive to its lower layer.
Mode Management,The Communication Manager shall support synchronized PNC shutdown.
Mode Management,Relationship between users and physical channels shall be configurable at precompile time.
Mode Management,It shall be possible to assign physical channels to the Communication Manager.
Mode Management,The Communication Manager shall be able to configure the physical channel wake-up prevention.
Mode Management,"The Communication Manager shall be able to handle the Partial Networks on FlexRay, CAN, and Ethernet."
Mode Management,The number of supported PNCs (likely Protocol Network Clusters) shall be configurable strictly at pre-compile time.
Mode Management,Enabling or disabling the Partial Network Cluster man agement in ComM shall be post-build selectable.
Mode Management,ComM shall allow for additional bus specific state managers
Mode Management,The BSW Mode Manager shall support the ’disable nor mal Communication’
Mode Management,The BSW Mode Manager shall provide an Interface to allow Mode Requests of SW-C’s
Mode Management,The BSW Mode Manager shall provide an Interface to allow Mode Requests of BSW Modules
Mode Management,The BSW Mode Manager shall evaluate the current mode requests.
Mode Management,The BSW Mode Manager shall propagate a performed mode change to all local SW-Cs.
Mode Management,"The mode manager shall be able to use a COM interface to activate, respectively deactivate, I-PDU groups."
Mode Management,"The mode manager shall be able to make generic, configured callouts of void functions to other BSW modules."
Mode Management,All actions shall only be performed on mode change.
Mode Management,ComM shall notify BswM of any PNC communication state change.
Mode Management,BswM shall be able to request communication modes for existing Comm Users.
Mode Management,The BswM shall be able to set the halt mode for each single CPU Core independently.
Mode Management,The rules of the mode arbitration shall be pre-compile and post-build configurable.
Mode Management,The lists of mode transition specific actions shall be pre-compile and post-build configurable.
Mode Management,A configurable set of mode-dependent enabled and concomitant disabled I-PDU groups shall be supported.
Mode Management,Configurable sets of mode-dependent enabled I-PDU Groups shall be supported.
Mode Management,Configurable Mode Activation-initiated Reset of Signals to Initial Values shall be supported.
COM,AUTOSAR COM and LargeDataCOM shall be configured by using XML as configuration language
COM,AUTOSAR COM and LargeDataCOM shall support multiple configuration stages
COM,AUTOSAR COM and LargeDataCOM shall define rules for checking the consistency of configuration data
COM,AUTOSAR COM and LargeDataCOM shall provide a receive indication function
COM,AUTOSAR COM and LargeDataCOM shall provide a transmit confirmation function
COM,AUTOSAR COM and LargeDataCOM shall provide a function to request the transmit buffer data for lower layer triggered transmission
COM,AUTOSAR COM and LargeDataCOM shall not support splitting of large signals into different I-PDUs
